,dt,AverageTemperature,Country,iso_code
0,1900,5.236363636,Åland,Unknown code
1,1901,6.431727273,Åland,Unknown code
2,1902,3.912636364,Åland,Unknown code
3,1903,6.521909091,Åland,Unknown code
4,1904,4.946272727,Åland,Unknown code
5,1905,6.267636364,Åland,Unknown code
6,1906,6.484181818,Åland,Unknown code
7,1907,5.544,Åland,Unknown code
8,1908,5.731454545,Åland,Unknown code
9,1909,5.093545455,Åland,Unknown code
10,1910,6.927090909,Åland,Unknown code
11,1911,6.649,Åland,Unknown code
12,1912,6.006454545,Åland,Unknown code
13,1913,6.931363636,Åland,Unknown code
14,1914,7.402636364,Åland,Unknown code
15,1915,4.278545455,Åland,Unknown code
16,1916,5.605363636,Åland,Unknown code
17,1917,5.614636364,Åland,Unknown code
18,1918,6.392454545,Åland,Unknown code
19,1919,5.244363636,Åland,Unknown code
20,1920,7.200181818,Åland,Unknown code
21,1921,6.604090909,Åland,Unknown code
22,1922,5.398181817999999,Åland,Unknown code
23,1923,4.935818182,Åland,Unknown code
24,1924,6.194909091,Åland,Unknown code
25,1925,6.128363636,Åland,Unknown code
26,1926,5.767818182,Åland,Unknown code
27,1927,5.802363636,Åland,Unknown code
28,1928,5.522,Åland,Unknown code
29,1929,5.852272727000001,Åland,Unknown code
30,1930,7.363181817999999,Åland,Unknown code
31,1931,5.326363636,Åland,Unknown code
32,1932,6.471727273,Åland,Unknown code
33,1933,6.297909091,Åland,Unknown code
34,1934,8.082272727000001,Åland,Unknown code
35,1935,6.834727273,Åland,Unknown code
36,1936,6.936,Åland,Unknown code
37,1937,7.183545455,Åland,Unknown code
38,1938,8.029727272999999,Åland,Unknown code
39,1939,6.9589090910000015,Åland,Unknown code
40,1940,4.924818182,Åland,Unknown code
41,1941,4.734090909,Åland,Unknown code
42,1942,4.686090909,Åland,Unknown code
43,1943,7.858727272999999,Åland,Unknown code
44,1944,6.884363636000002,Åland,Unknown code
45,1945,6.561,Åland,Unknown code
46,1946,6.353909091,Åland,Unknown code
47,1947,5.713181818,Åland,Unknown code
48,1948,7.017,Åland,Unknown code
49,1949,7.629818182,Åland,Unknown code
50,1950,7.009636364,Åland,Unknown code
51,1951,6.661818182,Åland,Unknown code
52,1952,5.269090909,Åland,Unknown code
53,1953,7.554090909,Åland,Unknown code
54,1954,6.340545455,Åland,Unknown code
55,1955,5.523090909,Åland,Unknown code
56,1956,4.796,Åland,Unknown code
57,1957,6.0379999999999985,Åland,Unknown code
58,1958,5.411363636,Åland,Unknown code
59,1959,7.531909091,Åland,Unknown code
60,1960,6.451363636,Åland,Unknown code
61,1961,7.587272727,Åland,Unknown code
62,1962,5.305909091,Åland,Unknown code
63,1963,5.903727272999999,Åland,Unknown code
64,1964,6.109181818,Åland,Unknown code
65,1965,5.386545455,Åland,Unknown code
66,1966,5.4053636360000015,Åland,Unknown code
67,1967,6.934,Åland,Unknown code
68,1968,6.311636364,Åland,Unknown code
69,1969,5.645181817999999,Åland,Unknown code
70,1970,5.437181817999999,Åland,Unknown code
71,1971,6.129181817999999,Åland,Unknown code
72,1972,7.294727272999999,Åland,Unknown code
73,1973,6.578727272999999,Åland,Unknown code
74,1974,7.291909091,Åland,Unknown code
75,1975,7.733,Åland,Unknown code
76,1976,5.679545455,Åland,Unknown code
77,1977,5.780818182000001,Åland,Unknown code
78,1978,5.074727273,Åland,Unknown code
79,1979,5.818909091,Åland,Unknown code
80,1980,5.8419090910000016,Åland,Unknown code
81,1981,5.721181818,Åland,Unknown code
82,1982,6.877454545,Åland,Unknown code
83,1983,6.574363636,Åland,Unknown code
84,1984,7.0138181820000005,Åland,Unknown code
85,1985,4.592909091,Åland,Unknown code
86,1986,5.856,Åland,Unknown code
87,1987,5.135090909,Åland,Unknown code
88,1988,6.467272727,Åland,Unknown code
89,1989,7.652272727000001,Åland,Unknown code
90,1990,7.8310909089999985,Åland,Unknown code
91,1991,6.968727273,Åland,Unknown code
92,1992,7.244090909,Åland,Unknown code
93,1993,6.342090909,Åland,Unknown code
94,1994,6.555909091,Åland,Unknown code
95,1995,6.842545455,Åland,Unknown code
96,1996,5.937272727000001,Åland,Unknown code
97,1997,7.339727272999999,Åland,Unknown code
98,1998,6.287636364,Åland,Unknown code
99,1999,7.5410909089999985,Åland,Unknown code
100,2000,7.927545455,Åland,Unknown code
101,2001,6.929727272999999,Åland,Unknown code
102,2002,7.489272727,Åland,Unknown code
103,2003,7.259636363999999,Åland,Unknown code
104,2004,7.322363636,Åland,Unknown code
105,2005,7.21,Åland,Unknown code
106,2006,7.879909091,Åland,Unknown code
107,2007,7.614,Åland,Unknown code
108,2008,7.962909091,Åland,Unknown code
109,2009,7.1449090910000015,Åland,Unknown code
110,2010,5.887181817999999,Åland,Unknown code
111,2011,8.000727272999999,Åland,Unknown code
112,2012,6.7009090910000015,Åland,Unknown code
113,1899,,Afghanistan,AFG
114,1900,15.31090909,Afghanistan,AFG
115,1901,15.10909091,Afghanistan,AFG
116,1902,15.61609091,Afghanistan,AFG
117,1903,14.29309091,Afghanistan,AFG
118,1904,15.34154545,Afghanistan,AFG
119,1905,14.71527273,Afghanistan,AFG
120,1906,15.162,Afghanistan,AFG
121,1907,14.39554545,Afghanistan,AFG
122,1908,14.824000000000002,Afghanistan,AFG
123,1909,15.30263636,Afghanistan,AFG
124,1910,14.390999999999998,Afghanistan,AFG
125,1911,14.70418182,Afghanistan,AFG
126,1912,15.12454545,Afghanistan,AFG
127,1913,14.92709091,Afghanistan,AFG
128,1914,15.23509091,Afghanistan,AFG
129,1915,16.07636364,Afghanistan,AFG
130,1916,14.351,Afghanistan,AFG
131,1917,14.93763636,Afghanistan,AFG
132,1918,14.70990909,Afghanistan,AFG
133,1919,15.28390909,Afghanistan,AFG
134,1920,14.09572727,Afghanistan,AFG
135,1921,15.41709091,Afghanistan,AFG
136,1922,15.41518182,Afghanistan,AFG
137,1923,14.53236364,Afghanistan,AFG
138,1924,14.79772727,Afghanistan,AFG
139,1925,15.382,Afghanistan,AFG
140,1926,14.85018182,Afghanistan,AFG
141,1927,15.27590909,Afghanistan,AFG
142,1928,15.00609091,Afghanistan,AFG
143,1929,14.88172727,Afghanistan,AFG
144,1930,14.90545455,Afghanistan,AFG
145,1931,14.604,Afghanistan,AFG
146,1932,14.79281818,Afghanistan,AFG
147,1933,15.349,Afghanistan,AFG
148,1934,14.95236364,Afghanistan,AFG
149,1935,14.74454545,Afghanistan,AFG
150,1936,15.38481818,Afghanistan,AFG
151,1937,14.90445455,Afghanistan,AFG
152,1938,15.39136364,Afghanistan,AFG
153,1939,15.29318182,Afghanistan,AFG
154,1940,15.82981818,Afghanistan,AFG
155,1941,16.80845455,Afghanistan,AFG
156,1942,15.62645455,Afghanistan,AFG
157,1943,15.00736364,Afghanistan,AFG
158,1944,15.40390909,Afghanistan,AFG
159,1945,15.21890909,Afghanistan,AFG
160,1946,15.88718182,Afghanistan,AFG
161,1947,16.18963636,Afghanistan,AFG
162,1948,15.38827273,Afghanistan,AFG
163,1949,14.68863636,Afghanistan,AFG
164,1950,14.23363636,Afghanistan,AFG
165,1951,15.17863636,Afghanistan,AFG
166,1952,15.35518182,Afghanistan,AFG
167,1953,15.792,Afghanistan,AFG
168,1954,14.81481818,Afghanistan,AFG
169,1955,15.825,Afghanistan,AFG
170,1956,15.40445455,Afghanistan,AFG
171,1957,14.09236364,Afghanistan,AFG
172,1958,15.72181818,Afghanistan,AFG
173,1959,15.38190909,Afghanistan,AFG
174,1960,15.05118182,Afghanistan,AFG
175,1961,15.20881818,Afghanistan,AFG
176,1962,14.96436364,Afghanistan,AFG
177,1963,16.09390909,Afghanistan,AFG
178,1964,14.66118182,Afghanistan,AFG
179,1965,15.16681818,Afghanistan,AFG
180,1966,15.24918182,Afghanistan,AFG
181,1967,14.95790909,Afghanistan,AFG
182,1968,14.91036364,Afghanistan,AFG
183,1969,15.20954545,Afghanistan,AFG
184,1970,16.00545455,Afghanistan,AFG
185,1971,16.22454545,Afghanistan,AFG
186,1972,13.78172727,Afghanistan,AFG
187,1973,15.74545455,Afghanistan,AFG
188,1974,14.60709091,Afghanistan,AFG
189,1975,14.78918182,Afghanistan,AFG
190,1976,14.69518182,Afghanistan,AFG
191,1977,16.37436364,Afghanistan,AFG
192,1978,15.62663636,Afghanistan,AFG
193,1979,15.40090909,Afghanistan,AFG
194,1980,16.19227273,Afghanistan,AFG
195,1981,15.98581818,Afghanistan,AFG
